Timestamp,Volt_Set,Volt Meas,Current_Set,Current_Meas,Real Power,PF_Set,PF_Meas,PF_Error
2023-06-14 13:37:44.993000,230,230.0,0.2,0.2,27.0,0.6,0.5869565217391305,2.1739130434782483
2023-06-14 13:38:01.013000,230,230.0,0.2,0.2,27.0,0.6,0.5869565217391305,2.1739130434782483
2023-06-14 13:38:17.043000,230,230.0,0.2,0.2,27.0,0.6,0.5869565217391305,2.1739130434782483
2023-06-14 13:38:33.103000,230,230.0,0.2,0.2,27.0,0.6,0.5869565217391305,2.1739130434782483
2023-06-14 13:38:49.133000,230,230.0,0.2,0.2,27.0,0.6,0.5869565217391305,2.1739130434782483
2023-06-14 13:39:05.153000,230,230.0,0.2,0.2,27.0,0.6,0.5869565217391305,2.1739130434782483
2023-06-14 13:39:21.173000,230,230.0,0.2,0.2,27.0,0.6,0.5869565217391305,2.1739130434782483
2023-06-14 13:39:37.193000,230,230.0,0.2,0.2,27.0,0.6,0.5869565217391305,2.1739130434782483
2023-06-14 13:39:53.213000,230,230.0,0.2,0.2,27.0,0.6,0.5869565217391305,2.1739130434782483
2023-06-14 13:40:09.233000,230,230.0,0.2,0.2,27.0,0.6,0.5869565217391305,2.1739130434782483
2023-06-14 13:40:25.253000,230,230.0,0.2,0.2,27.0,0.6,0.5869565217391305,2.1739130434782483
2023-06-14 13:40:41.343000,230,230.0,0.2,0.2,27.0,0.6,0.5869565217391305,2.1739130434782483
2023-06-14 13:40:57.364000,230,230.0,0.2,0.2,27.0,0.6,0.5869565217391305,2.1739130434782483
2023-06-14 13:41:13.383000,230,230.0,0.2,0.2,27.0,0.6,0.5869565217391305,2.1739130434782483
2023-06-14 13:41:29.404000,230,230.0,0.2,0.2,27.0,0.6,0.5869565217391305,2.1739130434782483
2023-06-14 13:41:45.423000,230,230.0,0.2,0.2,27.0,0.6,0.5869565217391305,2.1739130434782483
2023-06-14 13:42:01.444000,230,230.0,0.2,0.2,27.0,0.6,0.5869565217391305,2.1739130434782483
2023-06-14 13:42:33.523000,230,230.0,0.5,0.5,69.0,0.6,0.6,0.0
2023-06-14 13:42:33.523000,230,230.0,0.5,0.5,69.0,0.6,0.6,0.0
2023-06-14 13:42:49.543000,230,230.0,0.5,0.5,69.0,0.6,0.6,0.0
2023-06-14 13:43:05.563000,230,230.0,0.5,0.5,69.0,0.6,0.6,0.0
2023-06-14 13:43:21.593000,230,230.0,0.5,0.5,69.0,0.6,0.6,0.0
2023-06-14 13:43:37.633000,230,230.0,0.5,0.5,69.0,0.6,0.6,0.0
2023-06-14 13:43:53.653000,230,230.0,0.5,0.5,69.0,0.6,0.6,0.0
2023-06-14 13:44:09.713000,230,230.0,0.5,0.5,69.0,0.6,0.6,0.0
2023-06-14 13:44:25.743000,230,230.0,0.5,0.5,69.0,0.6,0.6,0.0
2023-06-14 13:44:25.743000,230,230.0,0.5,0.5,69.0,0.6,0.6,0.0
2023-06-14 13:44:41.763000,230,230.0,0.5,0.5,69.0,0.6,0.6,0.0
2023-06-14 13:44:57.783000,230,230.0,0.5,0.5,69.0,0.6,0.6,0.0
